#Version: 0.1
#Glossary type: Fossil
#Source: treatise_gloss (merged from: treatise_o, treati)
#Finalized by: Dr. Hong Cui
#Date: 9/12/2013
#Reviewers: treatise  ,Dr. Hong Cui,Mohan Krishna Gowda,Fengqiong Huang,Sonali Ranade
#Source producer: OTO System

term,category,hasSyn,sourceDataset,termID
bosses,structure,0,treatise_gloss,38fb3d08-1bb8-11e3-a402-0026b9326338
boundaries,structure,0,treatise_gloss,38fb3e02-1bb8-11e3-a402-0026b9326338
branch,structure,0,treatise_gloss,38fb3ee8-1bb8-11e3-a402-0026b9326338
cephalon,structure,0,treatise_gloss,38fb3fc4-1bb8-11e3-a402-0026b9326338
clarella,structure,0,treatise_gloss,38fb40aa-1bb8-11e3-a402-0026b9326338
cranidium,structure,0,treatise_gloss,38fb417c-1bb8-11e3-a402-0026b9326338
culmination,structure,0,treatise_gloss,38fb424e-1bb8-11e3-a402-0026b9326338
cuticle,structure,0,treatise_gloss,38fb4320-1bb8-11e3-a402-0026b9326338
depressions,structure,0,treatise_gloss,38fb43f2-1bb8-11e3-a402-0026b9326338
deuterolobe,structure,0,treatise_gloss,38fb44c4-1bb8-11e3-a402-0026b9326338
doublure,structure,0,treatise_gloss,38fb465e-1bb8-11e3-a402-0026b9326338
end,structure,0,treatise_gloss,38fb4730-1bb8-11e3-a402-0026b9326338
eodiscoid,structure,0,treatise_gloss,38fb47f8-1bb8-11e3-a402-0026b9326338
exoskeleton,structure,0,treatise_gloss,38fb48ca-1bb8-11e3-a402-0026b9326338
extremities,structure,0,treatise_gloss,38fb499c-1bb8-11e3-a402-0026b9326338
extremity,structure,0,treatise_gloss,38fb4a64-1bb8-11e3-a402-0026b9326338
f1,structure,0,treatise_gloss,38fb4b36-1bb8-11e3-a402-0026b9326338
f2,structure,0,treatise_gloss,38fb4c08-1bb8-11e3-a402-0026b9326338
f3,structure,0,treatise_gloss,38fb4cd0-1bb8-11e3-a402-0026b9326338
facet,structure,0,treatise_gloss,38fb4da2-1bb8-11e3-a402-0026b9326338
fields,structure,0,treatise_gloss,38fb4e6a-1bb8-11e3-a402-0026b9326338
fixigena,structure,0,treatise_gloss,38fb4f3c-1bb8-11e3-a402-0026b9326338
fixigenae,structure,0,treatise_gloss,38fb500e-1bb8-11e3-a402-0026b9326338
flange,structure,0,treatise_gloss,38fb50d6-1bb8-11e3-a402-0026b9326338
fossula,structure,0,treatise_gloss,38fb51a8-1bb8-11e3-a402-0026b9326338
fulcrum,structure,0,treatise_gloss,38fb527a-1bb8-11e3-a402-0026b9326338
furrows,structure,0,treatise_gloss,38fb5342-1bb8-11e3-a402-0026b9326338
gap,structure,0,treatise_gloss,38fb5414-1bb8-11e3-a402-0026b9326338
genae,structure,0,treatise_gloss,38fb54e6-1bb8-11e3-a402-0026b9326338
granule,structure,0,treatise_gloss,38fb55ae-1bb8-11e3-a402-0026b9326338
granules,structure,0,treatise_gloss,38fb5676-1bb8-11e3-a402-0026b9326338
hexagon,structure,0,treatise_gloss,38fb5752-1bb8-11e3-a402-0026b9326338
hypostome,structure,0,treatise_gloss,38fb581a-1bb8-11e3-a402-0026b9326338
indentations,structure,0,treatise_gloss,38fb58ec-1bb8-11e3-a402-0026b9326338
ivshin,structure,0,treatise_gloss,38fb59be-1bb8-11e3-a402-0026b9326338
knobs,structure,0,treatise_gloss,38fb5a86-1bb8-11e3-a402-0026b9326338
lenses,structure,0,treatise_gloss,38fb5b58-1bb8-11e3-a402-0026b9326338
librigena,structure,0,treatise_gloss,38fb5c2a-1bb8-11e3-a402-0026b9326338
librigenae,structure,0,treatise_gloss,38fb5cf2-1bb8-11e3-a402-0026b9326338
limbs,structure,0,treatise_gloss,38fb5dc4-1bb8-11e3-a402-0026b9326338
lirae,structure,0,treatise_gloss,38fb5e8c-1bb8-11e3-a402-0026b9326338
lobes,structure,0,treatise_gloss,38fb5f5e-1bb8-11e3-a402-0026b9326338
macropleurae,structure,0,treatise_gloss,38fb6026-1bb8-11e3-a402-0026b9326338
macropleural,structure,0,treatise_gloss,38fb60f8-1bb8-11e3-a402-0026b9326338
macrospinose,structure,0,treatise_gloss,38fb61ca-1bb8-11e3-a402-0026b9326338
maculae,structure,0,treatise_gloss,38fb629c-1bb8-11e3-a402-0026b9326338
mallagnostus,structure,0,treatise_gloss,38fb6364-1bb8-11e3-a402-0026b9326338
middle,structure,0,treatise_gloss,38fb6436-1bb8-11e3-a402-0026b9326338
opisthoparian,structure,0,treatise_gloss,38fb6508-1bb8-11e3-a402-0026b9326338
opisthothorax,structure,0,treatise_gloss,38fb65d0-1bb8-11e3-a402-0026b9326338
pagetium,structure,0,treatise_gloss,38fb66a2-1bb8-11e3-a402-0026b9326338
palpebral,structure,0,treatise_gloss,38fb676a-1bb8-11e3-a402-0026b9326338
perforations,structure,0,treatise_gloss,38fb6832-1bb8-11e3-a402-0026b9326338
piece,structure,0,treatise_gloss,38fb6904-1bb8-11e3-a402-0026b9326338
plectrum,structure,0,treatise_gloss,38fb69cc-1bb8-11e3-a402-0026b9326338
pleura,structure,0,treatise_gloss,38fb6a9e-1bb8-11e3-a402-0026b9326338
pleurae,structure,0,treatise_gloss,38fb6b66-1bb8-11e3-a402-0026b9326338
pleural,structure,0,treatise_gloss,38fb6c2e-1bb8-11e3-a402-0026b9326338
polygon,structure,0,treatise_gloss,38fb6d00-1bb8-11e3-a402-0026b9326338
polygons,structure,0,treatise_gloss,38fb71c4-1bb8-11e3-a402-0026b9326338
posteroaxis,structure,0,treatise_gloss,38fb72b4-1bb8-11e3-a402-0026b9326338
prosopon,structure,0,treatise_gloss,38fb7390-1bb8-11e3-a402-0026b9326338
pseudoborder,structure,0,treatise_gloss,38fb746c-1bb8-11e3-a402-0026b9326338
pseudopalpebral,structure,0,treatise_gloss,38fb755c-1bb8-11e3-a402-0026b9326338
pustules,structure,0,treatise_gloss,38fb7624-1bb8-11e3-a402-0026b9326338
pygidia,structure,0,treatise_gloss,38fb76ec-1bb8-11e3-a402-0026b9326338
pygidium,structure,0,treatise_gloss,38fb77be-1bb8-11e3-a402-0026b9326338
pygidum,structure,0,treatise_gloss,38fb7886-1bb8-11e3-a402-0026b9326338
rib,structure,0,treatise_gloss,38fb7a20-1bb8-11e3-a402-0026b9326338
ribs,structure,0,treatise_gloss,38fb7b06-1bb8-11e3-a402-0026b9326338
rosette,structure,0,treatise_gloss,38fb7bce-1bb8-11e3-a402-0026b9326338
scrobicule,structure,0,treatise_gloss,38fb7ca0-1bb8-11e3-a402-0026b9326338
scrobicules,structure,0,treatise_gloss,38fb7d68-1bb8-11e3-a402-0026b9326338
shield,structure,0,treatise_gloss,38fb7e30-1bb8-11e3-a402-0026b9326338
shields,structure,0,treatise_gloss,38fb7f02-1bb8-11e3-a402-0026b9326338
striga,structure,0,treatise_gloss,38fb7fca-1bb8-11e3-a402-0026b9326338
swelling,structure,0,treatise_gloss,38fb809c-1bb8-11e3-a402-0026b9326338
swellings,structure,0,treatise_gloss,38fb8164-1bb8-11e3-a402-0026b9326338
terminations,structure,0,treatise_gloss,38fb8236-1bb8-11e3-a402-0026b9326338
terminus,structure,0,treatise_gloss,38fb82fe-1bb8-11e3-a402-0026b9326338
venter,structure,0,treatise_gloss,38fb83c6-1bb8-11e3-a402-0026b9326338
antennae,structure,0,treatise_gloss,38fb8498-1bb8-11e3-a402-0026b9326338
aperture,structure,0,treatise_gloss,38fb856a-1bb8-11e3-a402-0026b9326338
area,structure,0,treatise_gloss,38fb8632-1bb8-11e3-a402-0026b9326338
areas,structure,0,treatise_gloss,38fb86fa-1bb8-11e3-a402-0026b9326338
axis,structure,0,treatise_gloss,38fb87cc-1bb8-11e3-a402-0026b9326338
band,structure,0,treatise_gloss,38fb8894-1bb8-11e3-a402-0026b9326338
bands,structure,0,treatise_gloss,38fb8966-1bb8-11e3-a402-0026b9326338
bases,structure,0,treatise_gloss,38fb8a2e-1bb8-11e3-a402-0026b9326338
body,structure,0,treatise_gloss,38fb8af6-1bb8-11e3-a402-0026b9326338
border,structure,0,treatise_gloss,38fb8bc8-1bb8-11e3-a402-0026b9326338
borders,structure,0,treatise_gloss,38fb8c90-1bb8-11e3-a402-0026b9326338
branches,structure,0,treatise_gloss,38fb8d62-1bb8-11e3-a402-0026b9326338
cheek,structure,0,treatise_gloss,38fb8e2a-1bb8-11e3-a402-0026b9326338
cheeks,structure,0,treatise_gloss,38fb8efc-1bb8-11e3-a402-0026b9326338
collar,structure,0,treatise_gloss,38fb8fc4-1bb8-11e3-a402-0026b9326338
denticles,structure,0,treatise_gloss,38fb908c-1bb8-11e3-a402-0026b9326338
depression,structure,0,treatise_gloss,38fb915e-1bb8-11e3-a402-0026b9326338
disc,structure,0,treatise_gloss,38fb9230-1bb8-11e3-a402-0026b9326338
edge,structure,0,treatise_gloss,38fb92f8-1bb8-11e3-a402-0026b9326338
ends,structure,0,treatise_gloss,38fb93c0-1bb8-11e3-a402-0026b9326338
eye,structure,0,treatise_gloss,38fb9492-1bb8-11e3-a402-0026b9326338
eyes,structure,0,treatise_gloss,38fb955a-1bb8-11e3-a402-0026b9326338
face,structure,0,treatise_gloss,38fb962c-1bb8-11e3-a402-0026b9326338
facets,structure,0,treatise_gloss,38fb96f4-1bb8-11e3-a402-0026b9326338
field,structure,0,treatise_gloss,38fb97bc-1bb8-11e3-a402-0026b9326338
flanks,structure,0,treatise_gloss,38fb988e-1bb8-11e3-a402-0026b9326338
furrow,structure,0,treatise_gloss,38fb9956-1bb8-11e3-a402-0026b9326338
gena,structure,0,treatise_gloss,38fb9a28-1bb8-11e3-a402-0026b9326338
groove,structure,0,treatise_gloss,38fb9af0-1bb8-11e3-a402-0026b9326338
grooves,structure,0,treatise_gloss,38fb9bc2-1bb8-11e3-a402-0026b9326338
holotype,structure,0,treatise_gloss,38fb9c8a-1bb8-11e3-a402-0026b9326338
keel,structure,0,treatise_gloss,38fb9d5c-1bb8-11e3-a402-0026b9326338
limb,structure,0,treatise_gloss,38fb9e24-1bb8-11e3-a402-0026b9326338
line,structure,0,treatise_gloss,38fba0b8-1bb8-11e3-a402-0026b9326338
lines,structure,0,treatise_gloss,38fba194-1bb8-11e3-a402-0026b9326338
lobe,structure,0,treatise_gloss,38fba266-1bb8-11e3-a402-0026b9326338
margin,structure,0,treatise_gloss,38fba32e-1bb8-11e3-a402-0026b9326338
margins,structure,0,treatise_gloss,38fba40a-1bb8-11e3-a402-0026b9326338
markings,structure,0,treatise_gloss,38fba4d2-1bb8-11e3-a402-0026b9326338
mouth,structure,0,treatise_gloss,38fba5a4-1bb8-11e3-a402-0026b9326338
node,structure,0,treatise_gloss,38fba676-1bb8-11e3-a402-0026b9326338
nodes,structure,0,treatise_gloss,38fba73e-1bb8-11e3-a402-0026b9326338
notch,structure,0,treatise_gloss,38fba806-1bb8-11e3-a402-0026b9326338
part,structure,0,treatise_gloss,38fba8d8-1bb8-11e3-a402-0026b9326338
parts,structure,0,treatise_gloss,38fba9aa-1bb8-11e3-a402-0026b9326338
pit,structure,0,treatise_gloss,38fbaa72-1bb8-11e3-a402-0026b9326338
pits,structure,0,treatise_gloss,38fbab44-1bb8-11e3-a402-0026b9326338
plate,structure,0,treatise_gloss,38fbac16-1bb8-11e3-a402-0026b9326338
portion,structure,0,treatise_gloss,38fbacde-1bb8-11e3-a402-0026b9326338
portions,structure,0,treatise_gloss,38fbada6-1bb8-11e3-a402-0026b9326338
projection,structure,0,treatise_gloss,38fbae78-1bb8-11e3-a402-0026b9326338
projections,structure,0,treatise_gloss,38fbaf4a-1bb8-11e3-a402-0026b9326338
protrusion,structure,0,treatise_gloss,38fbb012-1bb8-11e3-a402-0026b9326338
region,structure,0,treatise_gloss,38fbb0e4-1bb8-11e3-a402-0026b9326338
regions,structure,0,treatise_gloss,38fbb1ac-1bb8-11e3-a402-0026b9326338
ridge,structure,0,treatise_gloss,38fbb27e-1bb8-11e3-a402-0026b9326338
ridges,structure,0,treatise_gloss,38fbb346-1bb8-11e3-a402-0026b9326338
rings,structure,0,treatise_gloss,38fbb418-1bb8-11e3-a402-0026b9326338
sculpture,structure,0,treatise_gloss,38fbb4e0-1bb8-11e3-a402-0026b9326338
section,structure,0,treatise_gloss,38fbb5a8-1bb8-11e3-a402-0026b9326338
sections,structure,0,treatise_gloss,38fbb67a-1bb8-11e3-a402-0026b9326338
slit,structure,0,treatise_gloss,38fbb742-1bb8-11e3-a402-0026b9326338
spine,structure,0,treatise_gloss,38fbb80a-1bb8-11e3-a402-0026b9326338
spines,structure,0,treatise_gloss,38fbb8dc-1bb8-11e3-a402-0026b9326338
striations,structure,0,treatise_gloss,38fbb9ae-1bb8-11e3-a402-0026b9326338
sulcus,structure,0,treatise_gloss,38fbba76-1bb8-11e3-a402-0026b9326338
suture,structure,0,treatise_gloss,38fbbb48-1bb8-11e3-a402-0026b9326338
sutures,structure,0,treatise_gloss,38fbbc10-1bb8-11e3-a402-0026b9326338
thorax,structure,0,treatise_gloss,38fbbcd8-1bb8-11e3-a402-0026b9326338
tip,structure,0,treatise_gloss,38fbbdaa-1bb8-11e3-a402-0026b9326338
tips,structure,0,treatise_gloss,38fbbe72-1bb8-11e3-a402-0026b9326338
tubercle,structure,0,treatise_gloss,38fbbf44-1bb8-11e3-a402-0026b9326338
tubercles,structure,0,treatise_gloss,38fbc00c-1bb8-11e3-a402-0026b9326338
wing,structure,0,treatise_gloss,38fbc0de-1bb8-11e3-a402-0026b9326338
wings,structure,0,treatise_gloss,38fbc1a6-1bb8-11e3-a402-0026b9326338
abathochroal,structure,0,treatise_gloss,38fbc26e-1bb8-11e3-a402-0026b9326338
apodemal,structure,0,treatise_gloss,38fbc340-1bb8-11e3-a402-0026b9326338
