#Version: 0.11
#Glossary type: Plant
#Source: fna_gloss_final_20130517 (merged from: fnagloss_fromHong_20130517125327, fna_glo)
#Finalized by: Dr. Hong Cui
#Date: 6/13/2014
#Reviewers: Heather Cole,Dr. Hong Cui,Stephanie Kha,Sonali Ranade,Jeff Saarela,Ishan Shah
#Source producer: OTO System

"term","category","hasSyn","sourceDataset","termID","remarks"
"aestivation","character","0","fna_gloss_final_20130517","1e9a1539-01e4-4773-834d-ca579d091256","active"
"agamospermous","reproduction","0","fna_gloss_final_20130517","ca794a74-bcd9-4120-a65c-309be9370165","active"
"aged","life_cycle","0","fna_gloss_final_20130517","a1f888ae-efdc-11e2-b45f-0026b9326338","active"
"agglomerate","architecture","0","fna_gloss_final_20130517","dd9e20b6-3721-42a8-afb1-e7004751e218","active"
"aggregate fruit","structure","0","fna_gloss_final_20130517","853ed939-84ea-424c-9fbe-88e2c0dff4ff","active"
"aggregated","arrangement","0","fna_gloss_final_20130517","2aa4edac-42ce-45d2-b06a-22148cf32929","active"
"aging","life_cycle","0","fna_gloss_final_20130517","5600db91-f2f9-4043-8359-aea4565c8a6c","active"
"akene","structure","0","fna_gloss_final_20130517","36a56913-88e9-4d72-8205-0ea14a215ae6","active"
"ala","structure","0","fna_gloss_final_20130517","6766d43e-3533-4b2a-8c28-7a2a8c067889","active"
"alae","structure","0","fna_gloss_final_20130517","b38c80fb-e887-4918-9e2d-92172e393916","active"
"alate","architecture","0","fna_gloss_final_20130517","ef2cad7e-d0d1-495d-a2e7-dedf13f079cb","active"
"albumen","structure","0","fna_gloss_final_20130517","1ecc1a22-0b08-4979-ae5e-2de10f4dc4ba","active"
"alete","architecture","0","fna_gloss_final_20130517","2225398c-fa25-4806-8bcb-2d11af334457","active"
"aligned","arrangement","0","fna_gloss_final_20130517","a1f8f21c-efdc-11e2-b45f-0026b9326338","active"
"alike","variability","0","fna_gloss_final_20130517","a1f90ea0-efdc-11e2-b45f-0026b9326338","active"
"allagostemonous","architecture","0","fna_gloss_final_20130517","a23b1cdf-f777-47f8-a844-8ac4554f2b31","active"
"allogamous","reproduction","0","fna_gloss_final_20130517","25bb8d1b-c01d-4b18-af24-f09ff2632035","active"
"allomictic","reproduction","0","fna_gloss_final_20130517","cf9d8416-b6cc-412f-aadd-2d09eff5e92d","active"
"almondy","odor","0","fna_gloss_final_20130517","d40ddc65-a032-4b55-8b5a-166fc9210495","active"
"almondy","taste","0","fna_gloss_final_20130517","a1ff529c-efdc-11e2-b45f-0026b9326338","active"
"alternate","arrangement","0","fna_gloss_final_20130517","de7f1c1e-e1eb-45d6-be30-6bbbd299a2b6","active"
"alternating","arrangement","0","fna_gloss_final_20130517","fd772f0c-63d3-485f-93ca-9963ef53c2c1","active"
"alveolate","relief","0","fna_gloss_final_20130517","98baddbf-ec2a-4ace-a8e0-865ad0146718","active"
"ament","structure","0","fna_gloss_final_20130517","607abb62-30fc-43da-8ad4-bc947d70a404","active"
"amentate","architecture","0","fna_gloss_final_20130517","7955bd51-2995-4123-a937-c4a397f29148","active"
"amphibious","habitat","0","fna_gloss_final_20130517","8b1a536d-429b-4d40-9962-f52b2c2da63b","active"
"amphicarpic","architecture","0","fna_gloss_final_20130517","3acb87aa-a544-4631-87f7-9aa9e76d8282","active"
"amphicarpous","architecture","0","fna_gloss_final_20130517","d3bd10c5-1e5c-4448-8d63-05b0621f9fb1","active"
"amphimictic","reproduction","0","fna_gloss_final_20130517","ceb51c45-db6f-43dc-9c43-2c74f2e0556b","active"
"amphistomatic","architecture","0","fna_gloss_final_20130517","a0bea72a-24ba-4734-abab-b23b3c19e6a3","active"
"amphistomatous","architecture","0","fna_gloss_final_20130517","da1ab1e6-69fd-4e69-ae8f-6d814675cd62","active"
"amphistomic","architecture","0","fna_gloss_final_20130517","5413c9d2-9f81-42b3-b53d-d06788f33e58","active"
"amphitropous","orientation","0","fna_gloss_final_20130517","5858c197-92b2-40ee-87a3-5a677a7136a9","active"
"amplexicaul","architecture","0","fna_gloss_final_20130517","380eff93-46d4-4330-9f67-67bf44b80e0a","active"
"amplexicaulous","architecture","0","fna_gloss_final_20130517","b926f9aa-35ed-4645-be9d-42e4dbf225d5","active"
"ampliate","size","0","fna_gloss_final_20130517","d1af4736-d048-4839-9c13-5e6965c67fb8","active"
"ampulla","structure","0","fna_gloss_final_20130517","683ab4a3-19b3-4350-aab5-2460ff5f96d9","active"
"ampullae","structure","0","fna_gloss_final_20130517","e4dfb682-a0d5-487c-9752-556d9c4c70ec","active"
"ampulliform","shape","0","fna_gloss_final_20130517","20b04210-7d61-4568-b73e-1a432dfa5907","active"
"anadromous","architecture","0","fna_gloss_final_20130517","83679c97-44e6-495f-96c3-6e15708abea3","active"
"anastomosing","architecture","0","fna_gloss_final_20130517","3e868545-e9ca-4fb7-9a1a-df6cf53266ee","active"
"anatomy","character","0","fna_gloss_final_20130517","a2e7fea2-efdc-11e2-b45f-0026b9326338","active"
"anatropous","orientation","0","fna_gloss_final_20130517","4a75e1b1-6aa4-4d51-9626-365e86010fe2","active"
