#Version: 0.1
#Glossary type: Porifera
#Source: http://purl.obolibrary.org/obo/poro.owl
#Finalized by: Elvis Wu
#Date: 7/07/2014
#Reviewers: Elvis Wu
#Source producer: Extracted from Porifera Ontology

"term","category","hasSyn","sourceDataset","termID"
"digitate","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000266"
"palmate","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000436"
"vesicular","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000630"
"pinnate","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000454"
"arborescent","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000144"
"fibroreticulate","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000306"
"size_class","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0002038"
"ficiform","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000308"
"sulcate","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000574"
"tubular","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000615"
"turbinate","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000616"
"lobate","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000378"
"clavate","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000212"
"crateriform","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000238"
"ovate","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000429"
"spined","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000101"
"acantho","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0002001"
"smooth","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0002036"
"globular","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000332"
"infundibuliform","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000354"
"stoloniferous","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000560"
"spiculation","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000545"
"platy","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000460"
"structural_quality","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000927"
"soft","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000534"
"tough","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000595"
"incompressible","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000353"
"firm","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000311"
"compressible","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000228"
"polymorphic","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000466"
"elastic","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000282"
"rubbery","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000511"
"fragile","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000323"
"resilient","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000498"
"friable","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000326"
"hard","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000337"
"limp","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000372"
"glutinous","morphology","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000333"
"node","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000416"
"deuteroclad","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000254"
"life_cycle_stage","life_cycle_stage","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000916"
"rhagon_stage","life_cycle_stage","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000505"
"stomoblastula_stage","life_cycle_stage","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000561"
"olynthus_stage","life_cycle_stage","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000420"
"spongocoel_lining","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000022"
"microanchor","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000398"
"clone","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000216"
"biological_process","biological_process","0","OBO_PORO","http://purl.obolibrary.org/obo/GO_0008150"
"reproduction","biological_process","0","OBO_PORO","http://purl.obolibrary.org/obo/GO_0000003"
"phagocytosis","biological_process","0","OBO_PORO","http://purl.obolibrary.org/obo/GO_0006909"
"phagocytosis","biological_process","0","OBO_PORO","http://purl.obolibrary.org/obo/GO_0006909"
"reproductive_process","biological_process","0","OBO_PORO","http://purl.obolibrary.org/obo/GO_0022414"
"reproduction","biological_process","0","OBO_PORO","http://purl.obolibrary.org/obo/GO_0000003"
"smoking","biological_process","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000100"
"spiculogenesis","biological_process","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000963"
"fragmentation","biological_process","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000324"
"phagocytosis","biological_process","0","OBO_PORO","http://purl.obolibrary.org/obo/GO_0006909"
"epitheca","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000292"
"basal_triradiate_system","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000165"
"strobiloplumicome","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000563"
"irciniid_filament","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000360"
"anatomical_entity","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/CARO_0000000"
"immaterial_anatomical_entity","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000019"
"pore","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000035"
"prosopyle","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000024"
"dermal_pore","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000038"
"foramen","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000321"
"apopyle","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000046"
"ostium","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000021"
"osculum","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000018"
"tabulate_osculum","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000580"
"posticum","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000473"
"cavity_of_canal","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000991"
"micropyle","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000406"
"facial_plane","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000303"
"anatomical_axis","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000908"
"spongeocoel","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000020"
"material_anatomical_entity","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/CARO_0000006"
"anatomical_structure","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/CARO_0000003"
"chamber","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000915"
"choanocyte_chamber","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000025"
"aphodal","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000133"
"choanocyte-lined_filter_chamber","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000937"
"choanocyte-lined_radial_canal","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000936"
"eurypylous","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000296"
"diplodal","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000269"
"choanochamber","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000197"
