#Version: 0.1
#Glossary type: Algea
#Source: diatom_test_2012_12_19
#Finalized by: Dr. Hong Cui
#Date: 
#Reviewers: treatise  ,Dr. Hong Cui,Sonali Ranade,Anna Yu
#Source producer: Anna Yu

"term","category","hasSyn","sourceDataset","termID"
"lens_shaped","shape","0","diatom_test_2012_12_19","ca53d304-11be-11e3-b45f-0026b9326338"
"hollow","shape","0","diatom_test_2012_12_19","ca53d390-11be-11e3-b45f-0026b9326338"
"longitudinal","orientation","0","diatom_test_2012_12_19","ca53ddd6-11be-11e3-b45f-0026b9326338"
"obvious","prominence","0","diatom_test_2012_12_19","ca53de80-11be-11e3-b45f-0026b9326338"
"oblong_elliptical","shape","0","diatom_test_2012_12_19","ca53df16-11be-11e3-b45f-0026b9326338"
"triangular","shape","0","diatom_test_2012_12_19","ca53dfb6-11be-11e3-b45f-0026b9326338"
"s_shaped","shape","0","diatom_test_2012_12_19","ca53e056-11be-11e3-b45f-0026b9326338"
"oval","shape","0","diatom_test_2012_12_19","ca53e0e2-11be-11e3-b45f-0026b9326338"
"rectangular","shape","0","diatom_test_2012_12_19","ca53e16e-11be-11e3-b45f-0026b9326338"
"saline","habit","0","diatom_test_2012_12_19","ca53e1fa-11be-11e3-b45f-0026b9326338"
"low","position","0","diatom_test_2012_12_19","ca53e286-11be-11e3-b45f-0026b9326338"
"lower","position","0","diatom_test_2012_12_19","ca53e31c-11be-11e3-b45f-0026b9326338"
"neighbouring","position","0","diatom_test_2012_12_19","ca53e3a8-11be-11e3-b45f-0026b9326338"
"planar","position","0","diatom_test_2012_12_19","ca53e434-11be-11e3-b45f-0026b9326338"
"radius","position","0","diatom_test_2012_12_19","ca53e4c0-11be-11e3-b45f-0026b9326338"
"funnel_like","shape","0","diatom_test_2012_12_19","ca53e54c-11be-11e3-b45f-0026b9326338"
"porch_like","shape","0","diatom_test_2012_12_19","ca53e5d8-11be-11e3-b45f-0026b9326338"
"pore_like","shape","0","diatom_test_2012_12_19","ca53e664-11be-11e3-b45f-0026b9326338"
"radially_folded","shape","0","diatom_test_2012_12_19","ca53e6fa-11be-11e3-b45f-0026b9326338"
"sharp","shape","0","diatom_test_2012_12_19","ca53e77c-11be-11e3-b45f-0026b9326338"
"structureless","shape","0","diatom_test_2012_12_19","ca53e808-11be-11e3-b45f-0026b9326338"
"stubby","shape","0","diatom_test_2012_12_19","ca53e894-11be-11e3-b45f-0026b9326338"
"stable","condition","0","diatom_test_2012_12_19","ca53e920-11be-11e3-b45f-0026b9326338"
"pointed","orientation","0","diatom_test_2012_12_19","ca53e9ac-11be-11e3-b45f-0026b9326338"
"vertical","orientation","0","diatom_test_2012_12_19","ca53ea42-11be-11e3-b45f-0026b9326338"
"subcentral","position","0","diatom_test_2012_12_19","ca53eace-11be-11e3-b45f-0026b9326338"
"transitional","position","0","diatom_test_2012_12_19","ca53eb5a-11be-11e3-b45f-0026b9326338"
"nearer","position","0","diatom_test_2012_12_19","ca53ebe6-11be-11e3-b45f-0026b9326338"
"moderate","prominence","0","diatom_test_2012_12_19","ca53ec72-11be-11e3-b45f-0026b9326338"
"recognizable","prominence","0","diatom_test_2012_12_19","ca53ecfe-11be-11e3-b45f-0026b9326338"
"strking","prominence","0","diatom_test_2012_12_19","ca53ed8a-11be-11e3-b45f-0026b9326338"
"partial","shape","0","diatom_test_2012_12_19","ca53ee16-11be-11e3-b45f-0026b9326338"
"rounded","shape","0","diatom_test_2012_12_19","ca53eea2-11be-11e3-b45f-0026b9326338"
"stout","shape","0","diatom_test_2012_12_19","ca53f258-11be-11e3-b45f-0026b9326338"
"rim_like","shape","0","diatom_test_2012_12_19","ca53f2f8-11be-11e3-b45f-0026b9326338"
"project","shape","0","diatom_test_2012_12_19","ca53f38e-11be-11e3-b45f-0026b9326338"
"projects","shape","0","diatom_test_2012_12_19","ca53f424-11be-11e3-b45f-0026b9326338"
"vestibule","shape","0","diatom_test_2012_12_19","ca53f4ba-11be-11e3-b45f-0026b9326338"
"smallest","size","0","diatom_test_2012_12_19","ca53f546-11be-11e3-b45f-0026b9326338"
