#Version: 0.19
#Glossary type: Plant
#Source: fna_gloss_final_20130517 (merged from: fnagloss_fromHong_20130517125327, fna_glo), Plant_fna_foc (merged from: foc_v9_jing_20130501080458, Plant_fna_jing_v19_v20 (merged from: fna2_v19_jing_20130227141308, fna2_v20_jing_20130228082452), foc_v8_jing_20130430113241, foc_v10_jing_20130409171802, foc_v11_jing_20130502111907, foc_v12_jing_20130502141840, foc_v13_jing_20130503115239, foc_v14_jing_20130506091135, foc_v18_jing_20130711164425, foc_v2021_jing_20130507150953, foc_v22_jing_20130710082723, foc_v23_jing_20130507134321, foc_v24_jing_20130711072108, foc_v25_jing_20130508081633, foc_v4_jing_20130416123440, foc_v5_jing_20130425141012, foc_v6_jing_20130515110950, foc_v7_jing_20130426135157, foc_v8_jing_20130430091947, fna2_v21_jing_20130228140000, fna2_v22_jing_20130301080941, fna2_v23_jing_20130301113018, fna2_v26_jing_20130314134608, fna2_v27_jing_20130314153702, fna2_v2_jing_20130402084106, fna2_v3_jing_20130314110323, fna2_v4_jing_20130225160038, fna2_v5_jing_20130226072402, fna2_v7_jing_20130226143722, fna2_v8_jing_20130227093016)
#Finalized by: Fengqiong Huang, Hong Cui
#Date: 08-10-14
#Reviewers: treatise  ,Gordon Burleigh,Heather Cole,Heather Cole,Hong Cui,Lorena  Endara,Stephanie Kha,Sonali Ranade,Jeff Saarela,Ishan Shah
#Source producer: OTO System

"term","category","synonym","termID"
"ceraceous","texture","waxen","81a70c99-0539-4c1f-882c-2361d8a81a04"
"semideciduous","duration","subdeciduous","a278cc9e-efdc-11e2-b45f-0026b9326338"
"semidecumbent","orientation","subdecumbent","43e78344-1ce7-11e4-990a-0026b9326338"
"hemiepiphytic","habitat","semiepiphytic","16f4dd0e-47b9-4014-a4a5-1d3e1d267a5d"
"eglandular","architecture","nonglandular","1fd296f5-4ea9-4a68-9a28-92b48c1d752c"
"indurate","texture","indurated","ed5e62ef-178d-48dd-b3d4-47afda3f149a"
"lentiginose","coating","lentiginous","1fe38c1a-b04b-4fa8-869e-954aefa100ff"
"osseous","texture","bony","08fb43a3-0091-4e8c-9a5f-a22c96ca5af4"
"semiprostrate","orientation","subprostrate","a2ec52c2-efdc-11e2-b45f-0026b9326338"
"semisucculent","texture","subsucculent","465b3210-1ce7-11e4-990a-0026b9326338"
"pliable","fragility","flexible","107e262c-7a12-4f07-aed8-8a02a448a714"
"pliable","fragility","pliant","107e262c-7a12-4f07-aed8-8a02a448a714"
"pliable","fragility","supple","107e262c-7a12-4f07-aed8-8a02a448a714"
"berrylike","architecture","berry_like","a2033038-efdc-11e2-b45f-0026b9326338"
"medium_sized","size","moderate_sized","44cfb3b2-1ce7-11e4-990a-0026b9326338"
"medium_sized","size","mid_sized","44cfb3b2-1ce7-11e4-990a-0026b9326338"
"medium_sized","size","middle_sized","44cfb3b2-1ce7-11e4-990a-0026b9326338"
"nontoxic","toxicity","non_toxic","44d09890-1ce7-11e4-990a-0026b9326338"
"equal_sized","size","even_sized","444aca26-1ce7-11e4-990a-0026b9326338"
"cane_like","shape","canelike","42d9ada6-1ce7-11e4-990a-0026b9326338"
"aboveground","habitat","above_ground","46c61abc-1ce7-11e4-990a-0026b9326338"
"scars","structure","cicatrices","1707921a-47c7-11e3-a402-0026b9326338"
"pinelike","odor","piny","438b9250-1ce7-11e4-990a-0026b9326338"
"sour","taste","sour_tasting","435e6e4c-1ce7-11e4-990a-0026b9326338"
"scurfy","pubescence","scurfy_pubescent","451c8c46-1ce7-11e4-990a-0026b9326338"
"lanate","pubescence","lanate_pubescent","70e2d50e-7cad-41d9-a5a9-5c7f9cfb29ca"
"villous","pubescence","villoso","80f4d553-5490-4272-8c56-26a9ad1b42fd"
"villous","pubescence","villous_pubescent","80f4d553-5490-4272-8c56-26a9ad1b42fd"
